date,open,high,low,close,Volume USD
2017-07-02,2421.3,2528.72,2374.34,2504.37,21389344.297813646
2017-07-03,2504.81,2595.0,2472.68,2550.47,29217427.74995962
2017-07-04,2540.07,2639.47,2540.07,2596.12,25106499.668947905
2017-07-05,2594.52,2623.0,2530.1,2602.9,27953283.835980102
2017-07-06,2598.37,2614.0,2522.0,2600.39,21528954.34102668
2017-07-07,2599.01,2605.0,2475.0,2501.46,23871609.94654097
2017-07-08,2501.46,2555.0,2462.0,2550.07,13585707.505766137
2017-07-09,2550.13,2564.65,2500.5,2502.28,11362777.284692526
2017-07-10,2504.0,2527.88,2261.85,2323.45,41643813.40413689
2017-07-11,2326.12,2399.0,2242.62,2305.98,41153845.47219268
2017-07-12,2301.55,2408.84,2239.54,2388.0,30260890.78959941
2017-07-13,2383.97,2425.16,2312.93,2339.99,19959979.973730277
2017-07-14,2340.0,2357.84,2140.0,2213.37,28329270.900505483
2017-07-15,2209.44,2219.99,1967.65,1970.51,40933955.17023771
2017-07-16,1970.51,2044.44,1830.0,1917.63,49017892.99602504
2017-07-17,1917.72,2229.97,1910.57,2226.0,55062965.12396932
2017-07-18,2226.0,2392.0,2164.0,2303.71,57675486.64183732
2017-07-19,2308.82,2402.5,2223.0,2265.21,39256668.4177523
2017-07-20,2265.51,2938.0,2265.51,2875.03,80388585.79656495
2017-07-21,2880.0,2887.45,2611.39,2670.0,56456097.015391216
2017-07-22,2667.01,2882.0,2644.59,2832.71,35807314.858699135
2017-07-23,2824.82,2855.0,2640.0,2749.02,30309041.77379112
2017-07-24,2756.8,2800.0,2701.0,2759.98,27562636.032398764
2017-07-25,2759.95,2775.79,2450.0,2564.82,55119744.58596138
2017-07-26,2564.74,2608.96,2400.0,2524.99,44110782.620422445
2017-07-27,2524.99,2695.0,2509.63,2666.33,30470881.9249168
2017-07-28,2666.33,2825.0,2655.82,2777.01,38674831.60744748
2017-07-29,2777.01,2785.65,2631.78,2680.56,29162093.8927272
2017-07-30,2681.6,2774.45,2569.69,2742.37,25850256.96040809
2017-07-31,2745.76,2889.99,2680.01,2855.81,30775400.32235596
2017-08-01,2855.81,2929.17,2615.0,2731.0,34319180.323908776
2017-08-02,2732.0,2760.0,2650.0,2703.51,25701752.871771883
2017-08-03,2703.51,2807.44,2698.83,2793.37,21942378.667501982
2017-08-04,2793.34,2877.52,2765.91,2855.0,21649647.01328432
2017-08-05,2851.01,3339.66,2848.32,3263.62,53864970.99245302
2017-08-06,3263.51,3296.51,3146.1,3222.75,19415356.18561585
2017-08-07,3216.78,3430.0,3186.0,3387.55,40234982.214820005
2017-08-08,3387.54,3490.0,3300.0,3412.41,54047554.11907721
2017-08-09,3408.46,3423.1,3178.72,3342.99,47355948.73813342
2017-08-10,3342.99,3448.0,3311.17,3413.03,30662056.576518904
2017-08-11,3410.0,3705.0,3390.67,3645.06,41893016.90826935
2017-08-12,3651.74,3934.0,3586.95,3855.1,46808256.167206496
2017-08-13,3855.04,4190.0,3841.71,4053.87,63678321.19247599
2017-08-14,4053.87,4329.43,3964.96,4306.23,59839433.8064571
2017-08-15,4320.95,4400.0,3800.0,4155.67,104670300.00736424
2017-08-16,4154.99,4379.78,3926.06,4378.84,54201451.11392368
2017-08-17,4361.99,4480.0,4167.21,4276.5,63221690.21138223
2017-08-18,4260.47,4368.0,3964.96,4100.0,73243722.71898398
2017-08-19,4100.0,4188.0,3900.0,4099.55,60622180.53812361
2017-08-20,4091.99,4125.95,4000.0,4058.68,25297075.43949622
2017-08-21,4058.64,4080.0,3949.78,3987.52,39205294.96854992
2017-08-22,3987.51,4139.31,3600.0,4085.0,91607936.47028452
2017-08-23,4078.0,4248.97,4051.94,4108.12,62131225.74471115
2017-08-24,4121.78,4350.0,4082.57,4300.34,45188812.05087737
2017-08-25,4308.8,4449.98,4270.0,4355.98,42278545.58782908
2017-08-26,4348.17,4369.78,4232.43,4333.38,28232267.488755032
2017-08-27,4333.38,4393.3,4290.32,4337.68,17265128.919350695
2017-08-28,4329.91,4399.72,4169.01,4379.99,37082544.51114851
2017-08-29,4385.0,4649.78,4336.26,4578.82,53506929.23288729
2017-08-30,4578.82,4642.22,4479.0,4573.2,39802266.79965532
2017-08-31,4573.15,4765.21,4566.66,4734.26,41730807.860144064
2017-09-01,4734.26,4935.0,4671.09,4921.7,73893290.99122925
2017-09-02,4921.71,4979.9,4488.5,4599.9,79485227.49399522
2017-09-03,4599.9,4700.0,4385.0,4606.26,51111913.87249231
2017-09-04,4603.68,4613.97,4058.5,4277.0,107820477.87845989
2017-09-05,4282.53,4474.88,4001.93,4396.52,88452547.03944387
2017-09-06,4397.38,4649.23,4356.42,4605.8,75315373.1638547
2017-09-07,4605.81,4674.34,4475.0,4615.0,42441050.809383005
2017-09-08,4615.0,4679.97,4125.99,4312.0,103567715.03254838
2017-09-09,4327.41,4379.78,4164.0,4308.72,42694105.82422728
2017-09-10,4322.44,4322.44,4010.0,4226.22,61045567.37899716
2017-09-11,4226.21,4353.49,4092.4,4207.31,47148244.61005771
2017-09-12,4198.89,4377.65,4080.0,4172.56,56267564.95284312
2017-09-13,4170.6,4179.14,3720.01,3865.34,115516497.42430224
2017-09-14,3861.89,3921.74,3210.0,3227.79,146117940.12424847
2017-09-15,3227.79,3820.0,2972.01,3700.01,203201893.20372936
2017-09-16,3699.89,3872.9,3500.0,3678.93,84913031.536313
2017-09-17,3669.07,3772.52,3463.0,3662.99,42666587.56517909
2017-09-18,3662.95,4122.7,3659.42,4101.6,67996861.4901148
2017-09-19,4102.0,4119.7,3848.35,3888.8,60399822.790743165
2017-09-20,3888.8,4050.0,3820.56,3874.46,45854372.78118481
2017-09-21,3864.0,3914.0,3573.0,3617.05,67009034.74110122
2017-09-22,3607.83,3761.84,3514.0,3612.18,54281678.692634
